SSN,Name,Address,Phone,InsuranceID
100000001,John Smith,42 Foobar Lane,555-0256,68476213
100000002,Grace Ritchie,37 Snafu Drive,555-0512,36546321
100000003,Random J. Patient,101 Omgbbq Street,555-1204,65465421
100000004,Dennis Doe,1100 Foobaz Avenue,555-2048,68421879
100000005,Felipe McFadden,156 Table Avenue,555-1254,41415241
100000006,Clifford Ross,654 Desk Street,555-0125,85218112
100000007,Cary Richard,34 Brick Street,555-7801,38652147
100000008,Marco Wilkerson,258 Book Road,555-9851,20193712
100000009,Juanita McClain,12 Chair Lane,555-3025,10786920
100000010,Linda Brooks,159 Cat Road,555-1057,35336241
100000011,Eugene Harman,35 Cardinal Drive,555-9210,76585321
100000012,Carlton Hernandez,48 Burger Street,555-7541,21551792
100000013,Georgia Blake,144 Salad Drive,555-5587,12135568
100000014,Guy Moore,221 Rose Avenue,555-0024,14457403
100000015,Ruben Gordon,454 Pine Avenue,555-2757,95123300
100000016,Albert Coffey,354 Cherry Street,555-1578,68741225
100000017,Taylor Freeman,145 Bird Avenue,555-1020,74580214
100000018,Renee Whitaker,325 Oak Road,555-3653,74001254
100000019,Miranda Rowland,141 Chocolate Street,555-1582,12012547
100000020,Al Wolf,95 Pasta Street,555-3520,36524101
100000021,Hugh Jarvis,125 Orange Avenue,555-8582,85214780
100000022,Kelvin Lester,41 Onion Lane,555-3201,32019850
100000023,Pedro Mullen,74 Cheese Street,555-8574,14202254
100000024,Barbara Hathaway,109 Candle Street,555-3025,12545822
100000025,Shane Meyer,78 Apple Road,555-0117,32012001
