id,name,position,SSN,department_id
1,John Dorian,Staff Internist,111111111,1
2,Elliot Reid,Attending Physician,222222222,1
3,Christopher Turk,Surgical Attending Physician,333333333,2
4,Percival Cox,Senior Attending Physician,444444444,1
5,Bob Kelso,Head Chief of Medicine,555555555,1
6,Todd Quinlan,Surgical Attending Physician,666666666,2
7,John Wen,Surgical Attending Physician,777777777,2
8,Keith Dudemeister,MD Resident,888888888,1
9,Molly Clock,Attending Psychiatrist,999999999,3
10,Noelyn Jagg,MD Resident,101010101,1
11,Peirce Everson,Surgical Attending Physician,111111111,2
12,Jude Archbold,Surgical Attending Physician,121212121,2
13,Sabrina Solly,MD Resident,131313131,1
14,Elicia Giraux,Attending Physician,141414141,1
15,Collene Dight,Attending Psychiatrist,151515151,3
16,Deeann Haughton,Attending Physician,161616161,1
